samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,was_correct,partial_guess
201,271,8,s,s,1227456,e,1118496,108960,1.097416530769891,true,r4ndomP@s
201,271,9,s,s,1369655,2,1265488,104167,1.0823137003274625,true,r4ndomP@ss
201,272,0,r,r,135023,Q,41,134982,3293.243902439024,true,r
201,272,1,4,4,269738,J,142173,127565,1.8972519395384497,true,r4
201,272,2,n,n,413576,h,279255,134321,1.48099765447351,true,r4n
201,272,3,d,d,548510,9,426050,122460,1.287431052693346,true,r4nd
201,272,4,o,o,683183,M,568050,115133,1.2026811020156676,true,r4ndo
201,272,5,m,m,820639,7,698749,121890,1.1744403212026064,true,r4ndom
201,272,6,P,P,966415,g,845088,121327,1.1435672971335529,true,r4ndomP
201,272,7,@,@,1108189,f,978568,129621,1.132459880151405,true,r4ndomP@
201,272,8,s,s,1229338,R,1134829,94509,1.0832803884990603,true,r4ndomP@s
201,272,9,s,s,1373827,h,1312596,61231,1.0466487784512524,true,r4ndomP@ss
201,273,0,r,r,134950,l,28,134922,4819.642857142857,true,r
201,273,1,4,4,269627,m,140216,129411,1.9229403206481428,true,r4
201,273,2,n,n,409253,L,279364,129889,1.4649453759253162,true,r4n
201,273,3,d,d,549568,u,430292,119276,1.2771978098593513,true,r4nd
201,273,4,o,o,678710,v,559224,119486,1.213663934308971,true,r4ndo
201,273,5,m,m,831905,d,699190,132715,1.1898124973183255,true,r4ndom
201,273,6,P,P,970449,n,837486,132963,1.1587644450175885,true,r4ndomP
201,273,7,@,@,1096613,z,972533,124080,1.1275843596052781,true,r4ndomP@
201,273,8,s,s,1244030,g,1139532,104498,1.09170255859423,true,r4ndomP@s
201,273,9,s,s,1388336,V,1259530,128806,1.1022651306439704,true,r4ndomP@ss
201,274,0,r,r,137189,H,38,137151,3610.2368421052633,true,r
201,274,1,4,4,273773,g,141006,132767,1.941569862275364,true,r4
201,274,2,n,n,414372,X,278533,135839,1.4876944563121786,true,r4n
201,274,3,d,d,554485,b,422086,132399,1.3136777813052316,true,r4nd
201,274,4,o,o,692056,h,557678,134378,1.2409598370385777,true,r4ndo
201,274,5,m,m,832504,Q,724143,108361,1.1496403334700467,true,r4ndom
201,274,6,P,P,969330,8,831916,137414,1.1651777342904812,true,r4ndomP
201,274,7,@,@,1098843,R,966538,132305,1.1368854613062291,true,r4ndomP@
201,274,8,s,s,1215109,8,1120651,94458,1.084288507305129,true,r4ndomP@s
201,274,9,s,s,1374679,z,1242498,132181,1.1063832698322251,true,r4ndomP@ss
201,275,0,r,r,138623,x,41,138582,3381.048780487805,true,r
201,275,1,4,4,270016,J,180385,89631,1.4968872134600992,true,r4
201,275,2,n,n,403293,g,270527,132766,1.4907680194583166,true,r4n
201,275,3,d,d,539491,0,409919,129572,1.3160917156804148,true,r4nd
201,275,4,o,o,674231,5,545027,129204,1.2370598153852927,true,r4ndo
201,275,5,m,m,816234,X,720665,95569,1.1326122400838115,true,r4ndom
201,275,6,P,P,951032,u,827316,123716,1.1495389911472762,true,r4ndomP
201,275,7,@,@,1084997,h,956324,128673,1.1345495877966045,true,r4ndomP@
201,275,8,s,s,1226070,e,1095211,130859,1.1194829124250942,true,r4ndomP@s
201,275,9,s,s,1339311,!,1294394,44917,1.0347011806297002,true,r4ndomP@ss
201,276,0,r,r,135605,N,33,135572,4109.242424242424,true,r
201,276,1,4,4,267710,S,147349,120361,1.8168430053817806,true,r4
201,276,2,n,n,433879,X,298127,135752,1.4553495657890765,true,r4n
201,276,3,d,d,576772,B,482160,94612,1.196225319396051,true,r4nd
201,276,4,o,o,677874,I,603352,74522,1.123513305665681,true,r4ndo
201,276,5,m,m,817683,#,686055,131628,1.191862168485034,true,r4ndom
201,276,6,P,P,956528,a,822916,133612,1.1623640809025466,true,r4ndomP
201,276,7,@,@,1090236,f,962712,127524,1.1324632912023533,true,r4ndomP@
201,276,8,s,s,1223643,2,1168447,55196,1.047238770778649,true,r4ndomP@s
201,276,9,s,s,1356062,R,1230832,125230,1.1017441860465116,true,r4ndomP@ss
201,277,0,r,r,134841,b,39,134802,3457.4615384615386,true,r
201,277,1,4,4,271908,0,139400,132508,1.9505595408895264,true,r4
201,277,2,n,n,412500,0,279618,132882,1.4752269167220995,true,r4n
201,277,3,d,d,550484,Y,418978,131506,1.313873282129372,true,r4nd
201,277,4,o,o,691855,L,556866,134989,1.2424084070494517,true,r4ndo
201,277,5,m,m,829876,0,735221,94655,1.128743602263809,true,r4ndom
201,277,6,P,P,956671,y,840879,115792,1.1377035221476575,true,r4ndomP
201,277,7,@,@,1110969,2,978410,132559,1.1354841017569322,true,r4ndomP@
201,277,8,s,s,1250285,w,1121143,129142,1.1151878038751524,true,r4ndomP@s
201,277,9,s,s,1385297,C,1301737,83560,1.0641911538198576,true,r4ndomP@ss
201,278,0,r,r,135092,9,39,135053,3463.897435897436,true,r
201,278,1,4,4,269887,K,138375,131512,1.9504028906955737,true,r4
201,278,2,n,n,404341,Q,273215,131126,1.4799370459162198,true,r4n
201,278,3,d,d,546373,!,419243,127130,1.303237024828083,true,r4nd
201,278,4,o,o,688783,6,561317,127466,1.2270838046950296,true,r4ndo
201,278,5,m,m,834316,0,698472,135844,1.1944873953429773,true,r4ndom
201,278,6,P,P,960689,d,835954,124735,1.1492127557257936,true,r4ndomP
201,278,7,@,@,1090886,5,1010701,80185,1.0793360251943949,true,r4ndomP@
201,278,8,s,s,1226700,B,1105748,120952,1.1093847784486157,true,r4ndomP@s
201,278,9,s,s,1370046,a,1245154,124892,1.1003024525480383,true,r4ndomP@ss
201,279,0,r,r,136301,F,33,136268,4130.333333333333,true,r
201,279,1,4,4,269826,W,139312,130514,1.9368467899391295,true,r4
201,279,2,n,n,420245,G,285246,134999,1.4732721931245312,true,r4n
201,279,3,d,d,548088,b,420834,127254,1.3023852635480972,true,r4nd
